lat_deg,lon_deg
39.00389594,-76.49919554
39.00390971,-76.49918065
39.00392348,-76.49916576
39.00393724,-76.49915087
39.00395101,-76.49913598
39.00396478,-76.49912109
39.00397855,-76.4991062
39.00399232,-76.49909131
39.00400609,-76.49907642
39.00401986,-76.49906153
39.00403363,-76.49904665
39.0040474,-76.49903176
39.00406117,-76.49901687
39.00407494,-76.49900198
39.0040887,-76.49898709
39.00410247,-76.4989722
39.00411624,-76.49895731
39.00413001,-76.49894242
39.00414378,-76.49892753
39.00415755,-76.49891264
39.00417132,-76.49889775
39.00418509,-76.49888286
39.00419886,-76.49886797
39.00421263,-76.49885308
39.00422639,-76.49883819
39.00424016,-76.4988233
39.00425393,-76.49880841
39.0042677,-76.49879352
39.00428147,-76.49877863
39.00429524,-76.49876374
39.00430901,-76.49874885
39.00432278,-76.49873397
39.00433655,-76.49871908
39.00435032,-76.49870419
39.00436408,-76.4986893
39.00437785,-76.49867441
39.00439162,-76.49865952
39.00440539,-76.49864463
39.00441916,-76.49862974
39.00443293,-76.49861485
39.0044467,-76.49859996
39.00446047,-76.49858507
39.00447424,-76.49857018
39.00448801,-76.49855529
39.00450177,-76.4985404
39.00451554,-76.49852551
39.00452931,-76.49851062
39.00454308,-76.49849573
39.00455685,-76.49848084
39.00457062,-76.49846595
39.00458439,-76.49845106
39.00459816,-76.49843617
39.00461193,-76.49842128
39.0046257,-76.49840639
39.00463946,-76.4983915
39.00465323,-76.49837661
39.004667,-76.49836172
39.00468077,-76.49834683
39.00469454,-76.49833194
39.00470831,-76.49831705
39.00472208,-76.49830216
39.00473585,-76.49828727
39.00474962,-76.49827239
39.00476338,-76.4982575
39.00477715,-76.49824261
39.00479092,-76.49822772
39.00480469,-76.49821283
39.00481846,-76.49819794
39.00483223,-76.49818305
39.004846,-76.49816816
39.00485977,-76.49815327
39.00487354,-76.49813838
39.00488731,-76.49812349
39.00490107,-76.4981086
39.00491484,-76.49809371
39.00492861,-76.49807882
39.00494238,-76.49806393
39.00495615,-76.49804904
39.00496992,-76.49803415
39.00498369,-76.49801926
39.00499746,-76.49800437
39.00501123,-76.49798948
39.00502499,-76.49797459
39.00503876,-76.4979597
39.00505253,-76.49794481
39.0050663,-76.49792992
39.00508007,-76.49791503
39.00509384,-76.49790014
39.00510761,-76.49788525
39.00512138,-76.49787036
39.00513515,-76.49785547
39.00514891,-76.49784058
39.00516268,-76.49782569
39.00517645,-76.4978108
39.00519022,-76.49779591
39.00520399,-76.49778102
39.00521776,-76.49776613
39.00523153,-76.49775124
39.0052453,-76.49773635
39.00525907,-76.49772146
