elapsed_s,lat_deg,lon_deg,yaw_rad,speed_mps
11.63375808,39.00027226,-76.5,-6.112173859e-13,3
11.68401638,39.00027361,-76.5,-6.971865208e-12,3
11.7343496,39.00027496,-76.5,-2.332772053e-12,3
11.78461741,39.00027631,-76.5,-2.148057815e-13,3
11.83488123,39.00027766,-76.5,-1.464915881e-12,3
11.88517904,39.00027902,-76.5,-3.320163615e-13,3
11.93542752,39.00028037,-76.5,1.998930526e-12,3
11.98570305,39.00028172,-76.5,2.064407039e-12,3
12.03598099,39.00028307,-76.5,2.163639227e-12,3
12.08622257,39.00028442,-76.5,-3.430389486e-12,3
12.13662763,39.00028577,-76.5,4.397614686e-12,3
12.18686096,39.00028712,-76.5,8.416075835e-12,3
12.23716042,39.00028847,-76.5,5.548637291e-13,3
12.28743148,39.00028982,-76.5,6.604544345e-12,3
12.33768884,39.00029118,-76.5,2.565131942e-13,3
12.38795312,39.00029253,-76.5,6.313188359e-12,3
12.43821909,39.00029388,-76.5,-3.231388008e-13,3
12.48857015,39.00029523,-76.5,-9.329893728e-12,3
12.53884158,39.00029658,-76.5,-7.629457873e-12,3
12.58915102,39.00029793,-76.5,4.867905026e-12,3
12.63945554,39.00029928,-76.5,-4.321583103e-12,3
12.68976182,39.00030063,-76.5,7.693179328e-13,3
12.74002617,39.00030198,-76.5,-5.97438363e-12,3
12.79039592,39.00030334,-76.5,-5.515339929e-13,3
12.84061469,39.00030469,-76.5,1.654189563e-12,3
12.89087915,39.00030604,-76.5,-5.080739188e-12,3
12.94116967,39.00030739,-76.5,-4.333414536e-12,3
12.99143916,39.00030874,-76.5,-2.22871714e-13,3
13.04170419,39.00031009,-76.5,-8.955972613e-12,3
13.09199748,39.00031144,-76.5,4.597980801e-12,3
13.14229805,39.0003128,-76.5,-9.435598545e-12,3
13.19261998,39.00031414,-76.5,-2.115808993e-12,3
13.24288698,39.0003155,-76.5,-9.435602738e-13,3
13.29319315,39.00031685,-76.5,3.876457974e-12,3
13.34347365,39.0003182,-76.5,-4.038472632e-12,3
13.39376301,39.00031955,-76.5,2.037444386e-12,3
13.44402281,39.0003209,-76.5,-1.880218812e-12,3
13.49436292,39.00032225,-76.5,-1.674740086e-12,3
13.54465194,39.0003236,-76.5,1.248303739e-12,3
